region,per_capita_cash_income_2020,real_incomes_2020,formal_wage_paid_2020,real_pay_2020,mortality_2020,newborn_2020,alc_2020,nar_2020,anomalies_2020,soc_ex_2020,child_need_under_16_2020,people_need_over_working_age_2020,people_need_working_age_2020,abort_2020,ret_turn_per_capita_2020_(rub),housting_2020,suicid_2020,HIV_2020,grp_2020,pop_2020,p_clinic_2020,hosp_2020,1_group_invalid_2020,2_group_invalid_2020,3_group_invalid_2020,child_invalid_2020,poverty_2020,unemployed_2020,death_cancer_2020,divorce_2020,death_cir_syst_2020,death_tub_2020,orphans_2020,syphilis_2020,gonor_2020,active_tub_2020,commit_minors_2020,recidivist_2020,crime_under_alcohol_2020,crime_under_narc_2020,reg_prod_2020
Омская область,27354.0,97.3,37828.0,103.7,105.0,17882.0,488,136,608.0,29.0,38.8,5.1,56.2,6288.0,185769.0,25.95,16.2,976,398641.0,1915170.0,185,82,16986,53112,55597,8721,13.6,8.9,200.2,7600.0,632.3,5.5,378,244,159,1007,275,9928,4508,59,1868711299.02
Оренбургская область,24719.0,97.7,35075.0,103.8,69.0,18674.0,1168,79,268.0,26.6,42.8,3.3,53.9,11255.0,169416.0,27.66,25.3,1423,538971.9,1949874.0,393,81,21403,99790,65929,9562,14.0,5.9,232.1,8200.0,760.1,6.7,524,232,247,942,500,10617,5587,132,1761524209.18
Орловская область,26843.0,98.6,31862.0,103.7,33.0,5755.0,553,37,136.0,25.0,41.5,8.0,50.5,3057.0,194977.0,30.32,11.8,176,390170.19,729091.0,131,37,6578,32161,21966,2887,12.9,6.1,233.8,2795.0,978.59,1.5,220,67,17,142,122,2415,1163,20,299904810.0
Пензенская область,24118.0,100.4,32766.0,102.9,43.0,9612.0,1163,88,274.0,22.4,32.7,12.8,54.5,4245.0,171266.99,31.44,18.0,329,379820.4,1298230.0,215,40,13786,32352,49723,4489,13.0,5.0,196.2,4940.0,902.7,2.8,178,62,20,235,214,5192,3184,26,586668026.6
Пермский край,30215.0,95.1,41958.0,103.7,119.0,25461.0,1611,305,869.0,23.0,41.5,3.7,54.8,15466.0,214161.99,25.27,26.7,3046,541930.19,2589261.0,442,67,24441,95199,80794,9746,13.3,5.7,207.8,10385.0,772.6,7.5,716,245,181,1301,958,13730,7991,132,2999280162.76
Приморский край,37304.0,96.9,50105.0,103.1,95.0,17974.99,1033,635,2082.0,23.5,49.6,4.2,46.2,7693.0,230378.0,24.02,16.6,796,582950.69,1886855.0,323,87,16755,48697,43023,6115,13.0,5.5,234.0,8517.0,759.0,15.9,1099,227,105,1419,643,10360,4875,141,686661705.38
Псковская область,26436.0,99.8,31496.0,103.9,20.0,4960.0,588,40,81.0,24.7,29.6,9.3,61.0,3490.0,200916.0,32.5,15.7,131,325659.59,623182.0,79,31,6028,21016,20519,2730,16.2,6.5,273.1,2568.99,1213.0,5.5,251,20,18,154,198,3192,1762,15,285448003.4
Республика Адыгея,30293.0,101.4,32161.0,102.9,14.0,4419.0,67,18,0.0,20.2,44.6,5.4,50.1,1003.0,231447.0,27.62,17.5,61,309184.09,463128.0,64,20,3524,16479,13060,1753,12.5,8.5,193.0,1664.0,648.9,4.8,136,28,18,102,76,1656,605,20,122026289.0
Республика Алтай,21677.0,104.5,36269.0,105.5,22.0,2933.0,83,24,0.0,19.8,44.5,2.9,52.6,1427.0,135351.0,21.76,43.1,50,283451.4,220567.0,23,18,4842,9056,7412,1322,23.8,14.0,155.1,1042.0,414.8,6.8,211,9,49,73,125,2326,1529,2,17423328.6
Республика Башкортостан,30249.0,95.1,38738.0,102.5,238.0,41042.99,1660,289,1703.0,22.4,40.1,4.5,55.4,14078.0,226690.99,27.31,15.4,1809,425161.0,4025968.0,214,102,25485,95161,129247,17178,11.6,5.9,180.4,14572.99,569.29,4.0,497,296,141,1511,982,17067,11372,113,3088668108.22
Республика Бурятия,26092.0,98.8,41800.0,102.2,69.0,12681.99,365,21,633.0,25.5,41.7,3.7,54.6,5388.0,199747.0,21.98,33.9,421,307558.8,985683.0,81,43,10554,33281,30960,6139,19.9,10.5,189.6,3531.0,481.6,4.09,438,151,296,367,646,7394,4917,102,352686208.04
